Episode,Total Reward,Requests Served,Average Waiting
746,-10722646,54,73.0
747,-9356093,64,66.7
748,-8445939,70,77.13
749,-8418081,58,63.21
750,-10390797,40,67.49
751,-11073823,67,76.52
752,-12477855,38,80.5
753,-9717198,44,65.54
754,-7703819,47,63.34
755,-13373280,65,87.03
756,-10198793,63,72.5
757,-12116220,30,75.63
758,-11131991,77,84.91
759,-11246962,49,79.85
760,-11834685,55,84.8
761,-10969699,53,81.83
762,-9560068,46,77.33
763,-15358915,0,95.79
764,-10222822,65,71.1
765,-12574401,51,87.66
766,-11507574,19,75.87
767,-14738410,28,92.84
768,-11876974,38,78.21
769,-8523019,45,67.93
770,-10144706,57,78.05
771,-11627699,33,76.93
772,-13196369,28,80.02
773,-13891913,35,83.61
774,-12811492,16,89.55
775,-11934919,37,83.46
776,-9940205,43,73.81
777,-11943487,19,86.07
778,-6352688,58,59.07
779,-11425740,39,79.4
780,-11530426,65,78.44
781,-11815141,33,84.87
782,-13608384,29,92.3
783,-10301779,51,73.88
784,-10852202,52,73.1
785,-11194449,53,83.54
786,-13479473,41,87.51
787,-9177142,51,72.94
788,-10464611,55,76.05
789,-11197489,55,74.51
790,-10332773,52,70.58
791,-9704218,66,76.22
792,-7096717,57,61.81
793,-16745539,42,97.62
794,-15040249,39,90.41
795,-11393706,63,77.8
796,-11572021,32,77.89
797,-13334552,47,85.65
798,-9257393,49,65.85
799,-8298654,52,71.53
800,-10277902,65,78.46
801,-13092260,27,81.62
802,-6238455,64,59.52
803,-11726338,71,76.14
804,-13123573,65,86.04
805,-16002688,25,94.92
806,-13220567,39,86.12
807,-10464459,51,80.13
808,-10056744,46,71.74
809,-10739607,25,77.61
810,-10395167,65,69.29
811,-9858205,52,66.35
812,-5660899,68,53.84
813,-16264308,42,98.56
814,-15102857,41,90.19
815,-11863045,58,75.92
816,-10388667,58,75.39
817,-8761570,42,64.36
818,-11306934,48,83.78
819,-13573395,33,87.35
820,-12114819,49,74.53
821,-7675641,81,62.75
822,-11425549,47,76.21
823,-11806920,43,77.79
824,-11162868,58,78.55
825,-12100097,22,78.13
826,-14948090,30,92.58
827,-9987526,40,70.18
828,-14416607,38,86.32
829,-9628543,50,67.98
830,-8508543,43,66.06
831,-16242341,15,96.43
832,-15423133,15,98.07
833,-8385332,51,63.12
834,-13679911,58,85.37
835,-9544982,57,72.42
836,-9975538,51,75.42
837,-15856064,21,99.94
838,-14375626,9,86.89
839,-10707773,53,69.95
840,-9531959,35,71.54
841,-11405132,25,77.19
842,-15122153,34,91.67
843,-15254242,31,96.49
844,-11214594,41,78.4
845,-8865930,43,67.9
846,-9144414,58,69.31
847,-10557227,72,69.74
848,-9712810,66,76.89
849,-8624388,62,65.99
850,-9726242,51,71.7
851,-13828439,34,82.59
852,-9632887,51,71.56
853,-13195963,67,89.09
854,-9356033,43,70.3
855,-9093215,65,79.09
856,-12981078,36,80.76
857,-16030504,20,95.98
858,-14671166,42,94.24
859,-10006213,30,70.1
860,-13626756,47,91.42
861,-8832741,80,68.31
862,-9161596,63,77.07
863,-15409326,55,97.56
864,-12541109,40,78.13
865,-11170615,44,79.07
866,-7805778,56,63.16
867,-13398513,30,92.16
868,-9019246,69,80.09
869,-8001925,56,65.09
870,-7642350,60,67.73
871,-13057932,33,85.01
872,-14660774,21,92.4
873,-11781085,47,83.5
874,-8466100,58,71.99
875,-8567473,60,72.27
876,-11184659,59,77.23
877,-8757442,41,71.41
878,-14899774,26,94.67
879,-13222488,51,88.21
880,-11712503,42,86.2
881,-11878873,52,84.42
882,-13692769,42,88.87
883,-14892856,9,97.12
884,-11699173,45,81.4
885,-11247224,38,77.02
886,-10649864,68,79.39
887,-10965777,44,80.48
888,-6227120,72,60.45
889,-11601075,57,76.33
890,-9303471,61,73.44
891,-7786648,42,65.9
892,-13695956,37,89.04
893,-10415912,59,73.7
894,-11615001,37,79.46
895,-14663275,33,98.14
896,-13621971,45,83.96
897,-7663609,49,66.07
898,-14585307,29,90.7
899,-15611578,21,101.07
900,-12349349,32,74.67
901,-16193486,26,96.77
902,-12821967,44,83.19
903,-11064338,61,87.1
904,-11899658,54,81.96
905,-7833675,63,65.06
906,-14060449,36,99.54
907,-11961170,56,84.46
908,-9980704,35,69.13
909,-12338966,61,85.45
910,-15301362,7,94.38
911,-9601522,43,75.88
912,-9697563,60,74.88
