Episode,Total Reward,Requests Served,Average Waiting
737,-7256080.0,88,72.24
738,-6953196.0,96,59.43
739,-8935610.0,73,70.24
740,-8124476.0,57,66.58
741,-12395369.0,60,77.87
742,-8169109.0,61,65.04
743,-6276144.0,71,59.38
744,-12563112.0,49,83.52
745,-10600416.0,72,81.52
746,-10104899.0,62,72.05
747,-11646758.0,62,81.64
748,-9915117.0,64,73.46
749,-12416620.0,80,91.9
750,-8067125.0,70,63.55
751,-12750695.0,62,88.38
752,-5581292.0,84,61.65
753,-12414361.0,44,80.49
754,-8309642.0,72,63.71
755,-12298984.0,71,90.35
756,-10425982.0,56,81.92
757,-7191174.0,76,57.2
758,-10026022.0,69,79.89
759,-14176898.0,53,91.81
760,-8671296.0,70,68.71
761,-9506899.0,62,77.84
762,-10021777.0,61,70.55
763,-10322189.0,61,79.56
764,-9077536.0,71,68.75
765,-11563275.0,53,78.16
766,-9585493.0,71,73.86
767,-9547643.0,90,69.15
768,-9609705.0,76,78.01
769,-10937371.0,72,82.18
770,-9772249.0,57,66.84
771,-12932943.0,55,90.55
772,-11271338.0,59,81.18
773,-10520181.0,72,75.04
774,-10668991.0,62,71.32
775,-8836404.0,70,76.88
776,-9180591.0,58,70.63
777,-12209129.0,67,84.86
778,-10465606.0,60,80.15
779,-8663362.0,72,74.55
780,-10766757.0,70,81.81
781,-6949223.0,76,66.22
782,-12502546.0,54,81.72
783,-11466226.0,64,85.42
784,-11159333.0,55,74.75
785,-11036389.0,72,76.29
786,-8620823.0,72,70.16
787,-11904952.0,66,80.1
788,-10416106.0,61,72.65
789,-8865017.0,60,66.74
790,-9849320.0,83,76.84
791,-7160590.0,84,60.18
792,-9777686.0,69,68.36
793,-7938671.0,70,60.21
794,-12139320.0,29,83.81
795,-10486638.0,47,71.05
796,-9493589.0,63,67.28
797,-12952735.0,66,81.32
798,-6896006.0,83,65.48
799,-12632235.0,53,78.28
800,-9890815.0,72,68.98
801,-14461709.0,33,87.32
802,-11081512.0,69,74.56
803,-12694461.0,57,85.62
804,-7289916.0,57,62.72
805,-11338374.0,61,81.3
806,-9782268.0,76,78.7
807,-8904841.0,69,67.66
808,-10731983.0,67,74.75
809,-7897345.0,60,61.04
810,-9852515.0,106,82.17
811,-11146179.0,72,78.42
812,-11408531.0,74,80.79
813,-14085219.0,36,85.91
814,-9118872.0,71,67.61
815,-9519798.0,57,72.31
816,-14217838.0,44,92.87
817,-6621712.0,71,61.07
818,-11587869.0,57,78.99
819,-10669819.0,53,74.59
820,-11522070.0,73,78.68
821,-10529957.0,52,77.35
822,-14967400.0,50,90.44
823,-9168358.0,51,71.6
824,-11012297.0,47,83.32
825,-7937462.0,85,69.14
826,-11586969.0,44,82.44
827,-11861564.0,46,78.71
828,-11529993.0,42,80.8
829,-9000181.0,76,72.53
830,-12550947.0,52,87.98
831,-6768520.0,78,64.25
832,-11317487.0,54,78.89
833,-13914004.0,57,91.29
834,-8546189.0,73,66.6
835,-10532061.0,74,77.44
836,-8733931.0,44,64.32
837,-11871252.0,78,85.21
838,-9014213.0,68,73.46
839,-9325176.0,83,70.71
840,-12461656.0,54,81.24
841,-9544651.0,68,74.85
842,-7286949.0,92,71.21
843,-10232536.0,78,77.48
844,-12063610.0,51,77.77
845,-10220066.0,54,79.29
846,-12173657.0,19,77.58
847,-12262014.0,39,73.3
848,-11661690.0,66,74.14
849,-10400040.0,46,80.81
850,-9305149.0,61,69.93
851,-13078037.0,48,82.06
852,-12721802.0,63,81.44
853,-9144201.0,55,69.99
854,-10259146.0,66,73.92
855,-13157169.0,62,89.3
856,-5351842.0,72,53.48
857,-8951820.0,62,71.26
858,-13176895.0,43,84.8
859,-14713551.0,46,89.39
860,-10746811.0,66,79.23
861,-10995108.0,49,78.99
862,-9553265.0,74,65.28
863,-9722981.0,43,69.1
864,-8844937.0,68,68.8
865,-12429945.0,49,80.95
866,-10240214.0,80,84.51
867,-13518665.0,47,85.81
868,-11649689.0,68,75.95
869,-9237991.0,76,70.53
870,-10008136.0,59,72.23
871,-9504367.0,51,68.14
872,-10554275.0,66,71.31
873,-12279740.0,60,79.38
874,-8525984.0,74,70.5
875,-9397503.0,49,69.18
876,-6912121.0,84,63.62
877,-11738970.0,66,86.79
878,-9923276.0,57,70.65
879,-11507964.0,57,79.15
880,-12402873.0,23,83.02
881,-9197940.0,60,68.69
882,-12156614.0,64,86.04
883,-10900863.0,56,76.13
884,-11065412.0,59,76.46
885,-11981841.0,64,80.97
886,-10574385.0,50,74.24
887,-11112386.0,68,78.86
888,-12712555.0,55,86.41
889,-14212020.0,61,88.37
890,-9382115.0,59,70.46
891,-9484631.0,57,68.14
892,-13091944.0,60,82.93
893,-8713474.0,80,72.53
894,-8822817.0,34,67.23
895,-8909585.0,52,65.68
896,-9499296.0,78,78.72
897,-9376542.0,58,70.15
898,-9177787.0,54,70.44
899,-8297493.0,41,65.31
900,-10685921.0,66,78.18
901,-7334645.0,77,69.6
902,-10004781.0,67,80.86
903,-11854295.0,51,84.89
904,-13443762.0,30,81.64
905,-10151872.0,65,71.26
